year;areakm;municipality;geocode_ibge;state
2007;1022.48;Acrelândia;1200013;Acre
2008;23.67;Acrelândia;1200013;Acre
2009;12.94;Acrelândia;1200013;Acre
2010;11.33;Acrelândia;1200013;Acre
2011;15.94;Acrelândia;1200013;Acre
2012;4.16;Acrelândia;1200013;Acre
2013;9.48;Acrelândia;1200013;Acre
2014;18.9;Acrelândia;1200013;Acre
2015;14.76;Acrelândia;1200013;Acre
2016;23.81;Acrelândia;1200013;Acre
2017;5.71;Acrelândia;1200013;Acre
2018;21.78;Acrelândia;1200013;Acre
2019;19.89;Acrelândia;1200013;Acre
2020;12.94;Acrelândia;1200013;Acre
2021;38.27;Acrelândia;1200013;Acre
2022;18.5;Acrelândia;1200013;Acre
2023;12.05;Acrelândia;1200013;Acre
2024;9.95;Acrelândia;1200013;Acre
2007;243.29;Assis Brasil;1200054;Acre
2008;3.42;Assis Brasil;1200054;Acre
2009;1.6;Assis Brasil;1200054;Acre
2010;3.77;Assis Brasil;1200054;Acre
2011;2.82;Assis Brasil;1200054;Acre
2012;2.4;Assis Brasil;1200054;Acre
2013;4.8;Assis Brasil;1200054;Acre
2014;7.68;Assis Brasil;1200054;Acre
2015;5.94;Assis Brasil;1200054;Acre
2016;2.89;Assis Brasil;1200054;Acre
2017;6.39;Assis Brasil;1200054;Acre
2018;7.93;Assis Brasil;1200054;Acre
2019;21.14;Assis Brasil;1200054;Acre
2020;18.17;Assis Brasil;1200054;Acre
2021;17.65;Assis Brasil;1200054;Acre
2022;8.46;Assis Brasil;1200054;Acre
2023;7.38;Assis Brasil;1200054;Acre
2024;6.15;Assis Brasil;1200054;Acre
2007;1233.73;Brasiléia;1200104;Acre
2008;12.66;Brasiléia;1200104;Acre
2009;8.22;Brasiléia;1200104;Acre
2010;11.96;Brasiléia;1200104;Acre
2011;14.52;Brasiléia;1200104;Acre
2012;12.89;Brasiléia;1200104;Acre
2013;17.19;Brasiléia;1200104;Acre
2014;33.42;Brasiléia;1200104;Acre
2015;22.06;Brasiléia;1200104;Acre
2016;17.71;Brasiléia;1200104;Acre
2017;23.13;Brasiléia;1200104;Acre
2018;21.09;Brasiléia;1200104;Acre
2019;58.61;Brasiléia;1200104;Acre
2020;40.12;Brasiléia;1200104;Acre
2021;61.2;Brasiléia;1200104;Acre
2022;30.61;Brasiléia;1200104;Acre
2023;22.51;Brasiléia;1200104;Acre
2024;19.11;Brasiléia;1200104;Acre
2007;1128.61;Bujari;1200138;Acre
2008;15.77;Bujari;1200138;Acre
2009;7.62;Bujari;1200138;Acre
2010;8.26;Bujari;1200138;Acre
2011;9.57;Bujari;1200138;Acre
2012;10.11;Bujari;1200138;Acre
2013;8.37;Bujari;1200138;Acre
2014;8.99;Bujari;1200138;Acre
2015;9.36;Bujari;1200138;Acre
2016;17.29;Bujari;1200138;Acre
2017;7.63;Bujari;1200138;Acre
2018;13.71;Bujari;1200138;Acre
2019;26.05;Bujari;1200138;Acre
2020;17.65;Bujari;1200138;Acre
2021;25.8;Bujari;1200138;Acre
2022;37.21;Bujari;1200138;Acre
2023;15.99;Bujari;1200138;Acre
2024;18.79;Bujari;1200138;Acre
2007;819.18;Capixaba;1200179;Acre
2008;8.83;Capixaba;1200179;Acre
2009;3.79;Capixaba;1200179;Acre
2010;3.75;Capixaba;1200179;Acre
2011;9.46;Capixaba;1200179;Acre
2012;15.11;Capixaba;1200179;Acre
2013;5.76;Capixaba;1200179;Acre
2014;9.62;Capixaba;1200179;Acre
2015;6.09;Capixaba;1200179;Acre
2016;16.65;Capixaba;1200179;Acre
2017;11.57;Capixaba;1200179;Acre
2018;10.27;Capixaba;1200179;Acre
2019;27.77;Capixaba;1200179;Acre
2020;18.8;Capixaba;1200179;Acre
2021;29.4;Capixaba;1200179;Acre
2022;31.98;Capixaba;1200179;Acre
2023;12.05;Capixaba;1200179;Acre
2024;6.73;Capixaba;1200179;Acre
2007;939.45;Cruzeiro do Sul;1200203;Acre
2008;11.02;Cruzeiro do Sul;1200203;Acre
2009;4.24;Cruzeiro do Sul;1200203;Acre
2010;22.18;Cruzeiro do Sul;1200203;Acre
2011;12.69;Cruzeiro do Sul;1200203;Acre
2012;9.46;Cruzeiro do Sul;1200203;Acre
2013;5.48;Cruzeiro do Sul;1200203;Acre
2014;10.65;Cruzeiro do Sul;1200203;Acre
2015;3.43;Cruzeiro do Sul;1200203;Acre
2016;9.26;Cruzeiro do Sul;1200203;Acre
2017;9.45;Cruzeiro do Sul;1200203;Acre
2018;18.06;Cruzeiro do Sul;1200203;Acre
2019;25.21;Cruzeiro do Sul;1200203;Acre
2020;42.47;Cruzeiro do Sul;1200203;Acre
2021;33.57;Cruzeiro do Sul;1200203;Acre
2022;54.71;Cruzeiro do Sul;1200203;Acre
2023;28.06;Cruzeiro do Sul;1200203;Acre
2024;17.08;Cruzeiro do Sul;1200203;Acre
2007;800.36;Epitaciolândia;1200252;Acre
2008;4.34;Epitaciolândia;1200252;Acre
2009;4.22;Epitaciolândia;1200252;Acre
2010;3.75;Epitaciolândia;1200252;Acre
2011;7.11;Epitaciolândia;1200252;Acre
2012;12.33;Epitaciolândia;1200252;Acre
2013;6.4;Epitaciolândia;1200252;Acre
2014;8.91;Epitaciolândia;1200252;Acre
2015;9.74;Epitaciolândia;1200252;Acre
2016;7.31;Epitaciolândia;1200252;Acre
2017;5.55;Epitaciolândia;1200252;Acre
2018;7.99;Epitaciolândia;1200252;Acre
2019;11.37;Epitaciolândia;1200252;Acre
2020;8.45;Epitaciolândia;1200252;Acre
2021;18.65;Epitaciolândia;1200252;Acre
2022;10.73;Epitaciolândia;1200252;Acre
2023;9.01;Epitaciolândia;1200252;Acre
2024;5.75;Epitaciolândia;1200252;Acre
2007;1301.46;Feijó;1200302;Acre
2008;27.15;Feijó;1200302;Acre
2009;19.51;Feijó;1200302;Acre
2010;22.65;Feijó;1200302;Acre
2011;23.32;Feijó;1200302;Acre
2012;30.84;Feijó;1200302;Acre
2013;23.75;Feijó;1200302;Acre
2014;37.31;Feijó;1200302;Acre
2015;10.62;Feijó;1200302;Acre
2016;38.63;Feijó;1200302;Acre
2017;26.37;Feijó;1200302;Acre
2018;72.24;Feijó;1200302;Acre
2019;94.02;Feijó;1200302;Acre
2020;99.88;Feijó;1200302;Acre
2021;139.01;Feijó;1200302;Acre
2022;193.22;Feijó;1200302;Acre
2023;62.86;Feijó;1200302;Acre
2024;75.69;Feijó;1200302;Acre
2007;120.16;Jordão;1200328;Acre
2008;7.23;Jordão;1200328;Acre
2009;1.89;Jordão;1200328;Acre
2010;6.8;Jordão;1200328;Acre
2011;5.99;Jordão;1200328;Acre
2012;7.03;Jordão;1200328;Acre
2013;2.22;Jordão;1200328;Acre
2014;6.91;Jordão;1200328;Acre
2015;0.93;Jordão;1200328;Acre
2016;2.14;Jordão;1200328;Acre
2017;2.49;Jordão;1200328;Acre
2018;6.27;Jordão;1200328;Acre
2019;11.05;Jordão;1200328;Acre
2020;11.65;Jordão;1200328;Acre
2021;9.74;Jordão;1200328;Acre
2022;15.35;Jordão;1200328;Acre
2023;4.95;Jordão;1200328;Acre
2024;7.25;Jordão;1200328;Acre
2007;264.95;Manoel Urbano;1200344;Acre
2008;4.9;Manoel Urbano;1200344;Acre
2009;5.33;Manoel Urbano;1200344;Acre
2010;8.19;Manoel Urbano;1200344;Acre
2011;8.01;Manoel Urbano;1200344;Acre
2012;13.68;Manoel Urbano;1200344;Acre
2013;16.33;Manoel Urbano;1200344;Acre
2014;18.46;Manoel Urbano;1200344;Acre
2015;19.17;Manoel Urbano;1200344;Acre
2016;26.92;Manoel Urbano;1200344;Acre
2017;17.58;Manoel Urbano;1200344;Acre
2018;46.46;Manoel Urbano;1200344;Acre
2019;31.62;Manoel Urbano;1200344;Acre
2020;54.0;Manoel Urbano;1200344;Acre
2021;41.54;Manoel Urbano;1200344;Acre
2022;88.3;Manoel Urbano;1200344;Acre
2023;30.43;Manoel Urbano;1200344;Acre
2024;24.45;Manoel Urbano;1200344;Acre
2007;190.41;Marechal Thaumaturgo;1200351;Acre
2008;11.84;Marechal Thaumaturgo;1200351;Acre
2009;0.06;Marechal Thaumaturgo;1200351;Acre
2010;22.03;Marechal Thaumaturgo;1200351;Acre
2011;10.89;Marechal Thaumaturgo;1200351;Acre
2012;3.67;Marechal Thaumaturgo;1200351;Acre
2013;2.16;Marechal Thaumaturgo;1200351;Acre
2014;8.86;Marechal Thaumaturgo;1200351;Acre
2015;0.47;Marechal Thaumaturgo;1200351;Acre
2016;2.58;Marechal Thaumaturgo;1200351;Acre
2017;2.59;Marechal Thaumaturgo;1200351;Acre
2018;4.07;Marechal Thaumaturgo;1200351;Acre
2019;13.67;Marechal Thaumaturgo;1200351;Acre
2020;28.65;Marechal Thaumaturgo;1200351;Acre
2021;6.33;Marechal Thaumaturgo;1200351;Acre
2022;9.78;Marechal Thaumaturgo;1200351;Acre
2023;10.83;Marechal Thaumaturgo;1200351;Acre
2024;9.11;Marechal Thaumaturgo;1200351;Acre
2007;374.35;Mâncio Lima;1200336;Acre
2008;4.31;Mâncio Lima;1200336;Acre
2009;1.3;Mâncio Lima;1200336;Acre
2010;4.65;Mâncio Lima;1200336;Acre
2011;11.66;Mâncio Lima;1200336;Acre
2012;3.29;Mâncio Lima;1200336;Acre
2013;2.6;Mâncio Lima;1200336;Acre
2014;2.97;Mâncio Lima;1200336;Acre
2015;2.29;Mâncio Lima;1200336;Acre
2016;2.99;Mâncio Lima;1200336;Acre
2017;1.83;Mâncio Lima;1200336;Acre
2018;3.65;Mâncio Lima;1200336;Acre
2019;12.04;Mâncio Lima;1200336;Acre
2020;6.22;Mâncio Lima;1200336;Acre
2021;10.7;Mâncio Lima;1200336;Acre
2022;13.22;Mâncio Lima;1200336;Acre
2023;8.2;Mâncio Lima;1200336;Acre
2024;3.75;Mâncio Lima;1200336;Acre
2007;1380.81;Plácido de Castro;1200385;Acre
2008;3.26;Plácido de Castro;1200385;Acre
2009;10.46;Plácido de Castro;1200385;Acre
2010;5.69;Plácido de Castro;1200385;Acre
2011;6.95;Plácido de Castro;1200385;Acre
2012;3.87;Plácido de Castro;1200385;Acre
2013;4.9;Plácido de Castro;1200385;Acre
2014;7.39;Plácido de Castro;1200385;Acre
2015;5.15;Plácido de Castro;1200385;Acre
2016;7.86;Plácido de Castro;1200385;Acre
2017;5.0;Plácido de Castro;1200385;Acre
2018;11.86;Plácido de Castro;1200385;Acre
2019;8.99;Plácido de Castro;1200385;Acre
2020;8.28;Plácido de Castro;1200385;Acre
2021;15.19;Plácido de Castro;1200385;Acre
2022;5.97;Plácido de Castro;1200385;Acre
2023;3.14;Plácido de Castro;1200385;Acre
2024;2.04;Plácido de Castro;1200385;Acre
2007;1203.37;Porto Acre;1200807;Acre
2008;8.21;Porto Acre;1200807;Acre
2009;6.3;Porto Acre;1200807;Acre
2010;11.96;Porto Acre;1200807;Acre
2011;16.16;Porto Acre;1200807;Acre
2012;12.73;Porto Acre;1200807;Acre
2013;3.77;Porto Acre;1200807;Acre
2014;10.29;Porto Acre;1200807;Acre
2015;7.95;Porto Acre;1200807;Acre
2016;15.33;Porto Acre;1200807;Acre
2017;8.71;Porto Acre;1200807;Acre
2018;12.47;Porto Acre;1200807;Acre
2019;22.97;Porto Acre;1200807;Acre
2020;19.51;Porto Acre;1200807;Acre
2021;31.5;Porto Acre;1200807;Acre
2022;22.57;Porto Acre;1200807;Acre
2023;9.41;Porto Acre;1200807;Acre
2024;7.77;Porto Acre;1200807;Acre
2007;155.14;Porto Walter;1200393;Acre
2008;6.67;Porto Walter;1200393;Acre
2009;0.97;Porto Walter;1200393;Acre
2010;13.3;Porto Walter;1200393;Acre
2011;10.58;Porto Walter;1200393;Acre
2012;5.67;Porto Walter;1200393;Acre
2013;1.65;Porto Walter;1200393;Acre
2014;9.22;Porto Walter;1200393;Acre
2015;1.48;Porto Walter;1200393;Acre
2016;4.3;Porto Walter;1200393;Acre
2017;3.09;Porto Walter;1200393;Acre
2018;4.74;Porto Walter;1200393;Acre
2019;8.72;Porto Walter;1200393;Acre
2020;23.58;Porto Walter;1200393;Acre
2021;5.26;Porto Walter;1200393;Acre
2022;7.08;Porto Walter;1200393;Acre
2023;10.57;Porto Walter;1200393;Acre
2024;6.74;Porto Walter;1200393;Acre
2007;2416.59;Rio Branco;1200401;Acre
2008;28.85;Rio Branco;1200401;Acre
2009;18.54;Rio Branco;1200401;Acre
2010;19.94;Rio Branco;1200401;Acre
2011;41.92;Rio Branco;1200401;Acre
2012;27.84;Rio Branco;1200401;Acre
2013;19.63;Rio Branco;1200401;Acre
2014;32.88;Rio Branco;1200401;Acre
2015;30.27;Rio Branco;1200401;Acre
2016;52.38;Rio Branco;1200401;Acre
2017;25.86;Rio Branco;1200401;Acre
2018;32.7;Rio Branco;1200401;Acre
2019;80.0;Rio Branco;1200401;Acre
2020;55.74;Rio Branco;1200401;Acre
2021;97.63;Rio Branco;1200401;Acre
2022;118.25;Rio Branco;1200401;Acre
2023;69.58;Rio Branco;1200401;Acre
2024;62.63;Rio Branco;1200401;Acre
2007;423.85;Rodrigues Alves;1200427;Acre
2008;4.9;Rodrigues Alves;1200427;Acre
2009;2.57;Rodrigues Alves;1200427;Acre
2010;10.42;Rodrigues Alves;1200427;Acre
2011;4.7;Rodrigues Alves;1200427;Acre
2012;4.5;Rodrigues Alves;1200427;Acre
2013;3.7;Rodrigues Alves;1200427;Acre
2014;1.13;Rodrigues Alves;1200427;Acre
2015;2.36;Rodrigues Alves;1200427;Acre
2016;4.79;Rodrigues Alves;1200427;Acre
2017;5.3;Rodrigues Alves;1200427;Acre
2018;9.47;Rodrigues Alves;1200427;Acre
2019;12.62;Rodrigues Alves;1200427;Acre
2020;15.54;Rodrigues Alves;1200427;Acre
2021;12.21;Rodrigues Alves;1200427;Acre
2022;23.82;Rodrigues Alves;1200427;Acre
2023;10.55;Rodrigues Alves;1200427;Acre
2024;8.13;Rodrigues Alves;1200427;Acre
2007;72.12;Santa Rosa do Purus;1200435;Acre
2008;2.17;Santa Rosa do Purus;1200435;Acre
2009;1.87;Santa Rosa do Purus;1200435;Acre
2010;3.2;Santa Rosa do Purus;1200435;Acre
2011;2.88;Santa Rosa do Purus;1200435;Acre
2012;2.9;Santa Rosa do Purus;1200435;Acre
2013;1.24;Santa Rosa do Purus;1200435;Acre
2014;3.93;Santa Rosa do Purus;1200435;Acre
2015;2.24;Santa Rosa do Purus;1200435;Acre
2016;2.1;Santa Rosa do Purus;1200435;Acre
2017;2.39;Santa Rosa do Purus;1200435;Acre
2018;2.99;Santa Rosa do Purus;1200435;Acre
2019;7.01;Santa Rosa do Purus;1200435;Acre
2020;5.16;Santa Rosa do Purus;1200435;Acre
2021;4.1;Santa Rosa do Purus;1200435;Acre
2022;3.56;Santa Rosa do Purus;1200435;Acre
2023;1.9;Santa Rosa do Purus;1200435;Acre
2024;1.31;Santa Rosa do Purus;1200435;Acre
2007;1561.95;Sena Madureira;1200500;Acre
2008;34.81;Sena Madureira;1200500;Acre
2009;20.61;Sena Madureira;1200500;Acre
2010;37.03;Sena Madureira;1200500;Acre
2011;39.39;Sena Madureira;1200500;Acre
2012;38.45;Sena Madureira;1200500;Acre
2013;31.99;Sena Madureira;1200500;Acre
2014;52.36;Sena Madureira;1200500;Acre
2015;42.24;Sena Madureira;1200500;Acre
2016;56.02;Sena Madureira;1200500;Acre
2017;34.53;Sena Madureira;1200500;Acre
2018;48.28;Sena Madureira;1200500;Acre
2019;80.16;Sena Madureira;1200500;Acre
2020;73.0;Sena Madureira;1200500;Acre
2021;111.31;Sena Madureira;1200500;Acre
2022;105.8;Sena Madureira;1200500;Acre
2023;53.05;Sena Madureira;1200500;Acre
2024;43.75;Sena Madureira;1200500;Acre
2007;1639.24;Senador Guiomard;1200450;Acre
2008;4.9;Senador Guiomard;1200450;Acre
2009;7.27;Senador Guiomard;1200450;Acre
2010;3.85;Senador Guiomard;1200450;Acre
2011;7.0;Senador Guiomard;1200450;Acre
2012;2.41;Senador Guiomard;1200450;Acre
2013;4.14;Senador Guiomard;1200450;Acre
2014;3.98;Senador Guiomard;1200450;Acre
2015;4.89;Senador Guiomard;1200450;Acre
2016;9.11;Senador Guiomard;1200450;Acre
2017;4.68;Senador Guiomard;1200450;Acre
2018;8.17;Senador Guiomard;1200450;Acre
2019;6.64;Senador Guiomard;1200450;Acre
2020;9.85;Senador Guiomard;1200450;Acre
2021;20.17;Senador Guiomard;1200450;Acre
2022;16.87;Senador Guiomard;1200450;Acre
2023;6.23;Senador Guiomard;1200450;Acre
2024;7.17;Senador Guiomard;1200450;Acre
2007;1356.52;Tarauacá;1200609;Acre
2008;36.85;Tarauacá;1200609;Acre
2009;15.43;Tarauacá;1200609;Acre
2010;24.98;Tarauacá;1200609;Acre
2011;19.24;Tarauacá;1200609;Acre
2012;28.83;Tarauacá;1200609;Acre
2013;13.94;Tarauacá;1200609;Acre
2014;36.42;Tarauacá;1200609;Acre
2015;3.82;Tarauacá;1200609;Acre
2016;13.43;Tarauacá;1200609;Acre
2017;14.86;Tarauacá;1200609;Acre
2018;40.19;Tarauacá;1200609;Acre
2019;67.42;Tarauacá;1200609;Acre
2020;51.57;Tarauacá;1200609;Acre
2021;104.2;Tarauacá;1200609;Acre
2022;112.73;Tarauacá;1200609;Acre
2023;48.38;Tarauacá;1200609;Acre
2024;45.29;Tarauacá;1200609;Acre
2007;1230.86;Xapuri;1200708;Acre
2008;22.99;Xapuri;1200708;Acre
2009;7.0;Xapuri;1200708;Acre
2010;5.55;Xapuri;1200708;Acre
2011;14.76;Xapuri;1200708;Acre
2012;18.33;Xapuri;1200708;Acre
2013;10.73;Xapuri;1200708;Acre
2014;18.32;Xapuri;1200708;Acre
2015;17.6;Xapuri;1200708;Acre
2016;32.68;Xapuri;1200708;Acre
2017;20.95;Xapuri;1200708;Acre
2018;22.19;Xapuri;1200708;Acre
2019;59.9;Xapuri;1200708;Acre
2020;39.48;Xapuri;1200708;Acre
2021;58.61;Xapuri;1200708;Acre
2022;77.14;Xapuri;1200708;Acre
2023;25.81;Xapuri;1200708;Acre
2024;22.72;Xapuri;1200708;Acre
2007;103.31;Amapá;1600105;Amapá
2008;1.89;Amapá;1600105;Amapá
2009;1.88;Amapá;1600105;Amapá
2010;1.82;Amapá;1600105;Amapá
2011;0.21;Amapá;1600105;Amapá
2012;0.0;Amapá;1600105;Amapá
2013;0.45;Amapá;1600105;Amapá
2014;0.68;Amapá;1600105;Amapá
2015;0.31;Amapá;1600105;Amapá
2016;0.14;Amapá;1600105;Amapá
2017;0.16;Amapá;1600105;Amapá
2018;0.0;Amapá;1600105;Amapá
2019;0.69;Amapá;1600105;Amapá
2020;0.0;Amapá;1600105;Amapá
2021;0.0;Amapá;1600105;Amapá
2022;0.0;Amapá;1600105;Amapá
2023;0.0;Amapá;1600105;Amapá
2024;0.22;Amapá;1600105;Amapá
2007;161.88;Calçoene;1600204;Amapá
2008;6.3;Calçoene;1600204;Amapá
2009;8.07;Calçoene;1600204;Amapá
2010;11.9;Calçoene;1600204;Amapá
2011;1.03;Calçoene;1600204;Amapá
2012;1.11;Calçoene;1600204;Amapá
2013;2.99;Calçoene;1600204;Amapá
2014;1.75;Calçoene;1600204;Amapá
2015;0.93;Calçoene;1600204;Amapá
2016;0.57;Calçoene;1600204;Amapá
2017;3.02;Calçoene;1600204;Amapá
2018;1.97;Calçoene;1600204;Amapá
2019;2.06;Calçoene;1600204;Amapá
2020;1.11;Calçoene;1600204;Amapá
2021;1.09;Calçoene;1600204;Amapá
2022;1.74;Calçoene;1600204;Amapá
2023;2.11;Calçoene;1600204;Amapá
2024;8.76;Calçoene;1600204;Amapá
2007;186.68;Cutias;1600212;Amapá
2008;2.34;Cutias;1600212;Amapá
2009;0.22;Cutias;1600212;Amapá
2010;4.89;Cutias;1600212;Amapá
2011;0.35;Cutias;1600212;Amapá
2012;0.0;Cutias;1600212;Amapá
2013;0.22;Cutias;1600212;Amapá
2014;1.41;Cutias;1600212;Amapá
2015;0.49;Cutias;1600212;Amapá
2016;1.32;Cutias;1600212;Amapá
2017;0.13;Cutias;1600212;Amapá
2018;0.49;Cutias;1600212;Amapá
2019;0.78;Cutias;1600212;Amapá
2020;0.4;Cutias;1600212;Amapá
2021;0.1;Cutias;1600212;Amapá
2022;0.26;Cutias;1600212;Amapá
2023;0.43;Cutias;1600212;Amapá
2024;0.54;Cutias;1600212;Amapá
2007;132.6;Ferreira Gomes;1600238;Amapá
2008;2.57;Ferreira Gomes;1600238;Amapá
2009;1.11;Ferreira Gomes;1600238;Amapá
2010;2.32;Ferreira Gomes;1600238;Amapá
2011;0.51;Ferreira Gomes;1600238;Amapá
2012;0.15;Ferreira Gomes;1600238;Amapá
2013;0.3;Ferreira Gomes;1600238;Amapá
2014;0.63;Ferreira Gomes;1600238;Amapá
2015;3.58;Ferreira Gomes;1600238;Amapá
2016;0.96;Ferreira Gomes;1600238;Amapá
2017;0.0;Ferreira Gomes;1600238;Amapá
2018;0.42;Ferreira Gomes;1600238;Amapá
2019;1.3;Ferreira Gomes;1600238;Amapá
2020;0.45;Ferreira Gomes;1600238;Amapá
2021;0.07;Ferreira Gomes;1600238;Amapá
2022;0.75;Ferreira Gomes;1600238;Amapá
2023;0.17;Ferreira Gomes;1600238;Amapá
2024;0.21;Ferreira Gomes;1600238;Amapá
2007;84.57;Itaubal;1600253;Amapá
2008;0.2;Itaubal;1600253;Amapá
2009;0.0;Itaubal;1600253;Amapá
2010;3.86;Itaubal;1600253;Amapá
2011;0.42;Itaubal;1600253;Amapá
2012;0.24;Itaubal;1600253;Amapá
2013;0.0;Itaubal;1600253;Amapá
2014;0.25;Itaubal;1600253;Amapá
2015;0.0;Itaubal;1600253;Amapá
2016;0.0;Itaubal;1600253;Amapá
2017;0.0;Itaubal;1600253;Amapá
2018;1.83;Itaubal;1600253;Amapá
2019;0.04;Itaubal;1600253;Amapá
2020;0.0;Itaubal;1600253;Amapá
2021;0.08;Itaubal;1600253;Amapá
2022;0.0;Itaubal;1600253;Amapá
2023;0.29;Itaubal;1600253;Amapá
2024;0.07;Itaubal;1600253;Amapá
2007;173.46;Laranjal do Jari;1600279;Amapá
2008;9.13;Laranjal do Jari;1600279;Amapá
2009;5.04;Laranjal do Jari;1600279;Amapá
2010;5.03;Laranjal do Jari;1600279;Amapá
2011;1.73;Laranjal do Jari;1600279;Amapá
2012;3.37;Laranjal do Jari;1600279;Amapá
2013;0.78;Laranjal do Jari;1600279;Amapá
2014;3.67;Laranjal do Jari;1600279;Amapá
2015;1.52;Laranjal do Jari;1600279;Amapá
2016;0.73;Laranjal do Jari;1600279;Amapá
2017;1.82;Laranjal do Jari;1600279;Amapá
2018;1.74;Laranjal do Jari;1600279;Amapá
2019;1.49;Laranjal do Jari;1600279;Amapá
2020;0.37;Laranjal do Jari;1600279;Amapá
2021;2.15;Laranjal do Jari;1600279;Amapá
2022;1.71;Laranjal do Jari;1600279;Amapá
2023;2.13;Laranjal do Jari;1600279;Amapá
2024;2.62;Laranjal do Jari;1600279;Amapá
2007;389.01;Macapá;1600303;Amapá
2008;6.65;Macapá;1600303;Amapá
2009;0.75;Macapá;1600303;Amapá
2010;10.44;Macapá;1600303;Amapá
2011;0.83;Macapá;1600303;Amapá
2012;2.4;Macapá;1600303;Amapá
2013;1.37;Macapá;1600303;Amapá
2014;2.64;Macapá;1600303;Amapá
2015;3.09;Macapá;1600303;Amapá
2016;1.67;Macapá;1600303;Amapá
2017;0.65;Macapá;1600303;Amapá
2018;4.02;Macapá;1600303;Amapá
2019;7.21;Macapá;1600303;Amapá
2020;1.44;Macapá;1600303;Amapá
2021;0.9;Macapá;1600303;Amapá
2022;0.52;Macapá;1600303;Amapá
2023;1.47;Macapá;1600303;Amapá
2024;1.66;Macapá;1600303;Amapá
2007;87.54;Mazagão;1600402;Amapá
2008;15.65;Mazagão;1600402;Amapá
2009;5.9;Mazagão;1600402;Amapá
2010;1.18;Mazagão;1600402;Amapá
2011;1.52;Mazagão;1600402;Amapá
2012;4.49;Mazagão;1600402;Amapá
2013;0.97;Mazagão;1600402;Amapá
2014;3.18;Mazagão;1600402;Amapá
2015;1.94;Mazagão;1600402;Amapá
2016;1.3;Mazagão;1600402;Amapá
2017;1.49;Mazagão;1600402;Amapá
2018;4.6;Mazagão;1600402;Amapá
2019;2.34;Mazagão;1600402;Amapá
2020;0.71;Mazagão;1600402;Amapá
2021;2.46;Mazagão;1600402;Amapá
2022;2.68;Mazagão;1600402;Amapá
2023;3.63;Mazagão;1600402;Amapá
2024;4.22;Mazagão;1600402;Amapá
2007;185.83;Oiapoque;1600501;Amapá
2008;11.66;Oiapoque;1600501;Amapá
2009;4.14;Oiapoque;1600501;Amapá
2010;5.02;Oiapoque;1600501;Amapá
2011;2.09;Oiapoque;1600501;Amapá
2012;2.37;Oiapoque;1600501;Amapá
2013;4.95;Oiapoque;1600501;Amapá
2014;2.55;Oiapoque;1600501;Amapá
2015;1.27;Oiapoque;1600501;Amapá
2016;0.5;Oiapoque;1600501;Amapá
2017;1.56;Oiapoque;1600501;Amapá
2018;2.38;Oiapoque;1600501;Amapá
2019;7.24;Oiapoque;1600501;Amapá
2020;0.68;Oiapoque;1600501;Amapá
2021;0.71;Oiapoque;1600501;Amapá
2022;1.61;Oiapoque;1600501;Amapá
2023;0.77;Oiapoque;1600501;Amapá
2024;5.64;Oiapoque;1600501;Amapá
2007;240.35;Pedra Branca do Amapari;1600154;Amapá
2008;3.66;Pedra Branca do Amapari;1600154;Amapá
2009;4.74;Pedra Branca do Amapari;1600154;Amapá
2010;1.88;Pedra Branca do Amapari;1600154;Amapá
2011;1.34;Pedra Branca do Amapari;1600154;Amapá
2012;0.79;Pedra Branca do Amapari;1600154;Amapá
2013;3.09;Pedra Branca do Amapari;1600154;Amapá
2014;5.08;Pedra Branca do Amapari;1600154;Amapá
2015;1.13;Pedra Branca do Amapari;1600154;Amapá
2016;1.4;Pedra Branca do Amapari;1600154;Amapá
2017;1.45;Pedra Branca do Amapari;1600154;Amapá
2018;2.03;Pedra Branca do Amapari;1600154;Amapá
2019;4.91;Pedra Branca do Amapari;1600154;Amapá
2020;1.02;Pedra Branca do Amapari;1600154;Amapá
2021;2.0;Pedra Branca do Amapari;1600154;Amapá
2022;3.34;Pedra Branca do Amapari;1600154;Amapá
2023;0.74;Pedra Branca do Amapari;1600154;Amapá
2024;0.59;Pedra Branca do Amapari;1600154;Amapá
2007;350.99;Porto Grande;1600535;Amapá
2008;14.43;Porto Grande;1600535;Amapá
2009;4.63;Porto Grande;1600535;Amapá
2010;1.72;Porto Grande;1600535;Amapá
2011;2.53;Porto Grande;1600535;Amapá
2012;2.7;Porto Grande;1600535;Amapá
2013;1.87;Porto Grande;1600535;Amapá
2014;2.45;Porto Grande;1600535;Amapá
2015;0.63;Porto Grande;1600535;Amapá
2016;0.8;Porto Grande;1600535;Amapá
2017;3.02;Porto Grande;1600535;Amapá
2018;1.07;Porto Grande;1600535;Amapá
2019;2.74;Porto Grande;1600535;Amapá
2020;0.59;Porto Grande;1600535;Amapá
2021;2.24;Porto Grande;1600535;Amapá
2022;0.61;Porto Grande;1600535;Amapá
2023;1.19;Porto Grande;1600535;Amapá
2024;0.38;Porto Grande;1600535;Amapá
2007;62.35;Pracuúba;1600550;Amapá
2008;5.11;Pracuúba;1600550;Amapá
2009;2.4;Pracuúba;1600550;Amapá
2010;3.45;Pracuúba;1600550;Amapá
2011;0.66;Pracuúba;1600550;Amapá
2012;0.0;Pracuúba;1600550;Amapá
2013;2.09;Pracuúba;1600550;Amapá
2014;1.0;Pracuúba;1600550;Amapá
2015;0.86;Pracuúba;1600550;Amapá
2016;0.24;Pracuúba;1600550;Amapá
